Entity;Life expectancy at birth (historical)
Georgia;73.6
Georgia;73.3
Germany;78.4
Germany;78.5
Germany;78.5
Germany;79.1
Germany;79.3
Germany;79.6
Germany;79.7
Germany;79.8
Germany;79.9
Germany;80.1
Germany;80.4
Germany;80.5
Germany;80.5
Germany;80.9
Germany;80.6
Germany;80.8
Germany;80.9
Germany;81.2
Ghana;58.1
Ghana;58.6
Ghana;59.1
Ghana;59.2
Ghana;59.8
Ghana;60.0
Ghana;60.2
Ghana;60.5
Ghana;60.9
Ghana;61.2
Ghana;61.7
Ghana;62.1
Ghana;62.4
Ghana;63.0
Ghana;63.2
Ghana;63.9
Ghana;64.0
Ghana;64.1
Greece;78.8
Greece;79.0
Greece;79.0
Greece;79.3
Greece;79.6
Greece;79.7
Greece;79.6
Greece;80.0
Greece;80.3
Greece;80.5
Greece;80.5
Greece;80.3
Greece;81.0
Greece;81.0
Greece;80.7
Greece;81.2
Greece;80.9
Greece;81.4
Guatemala;67.9
Guatemala;68.4
Guatemala;68.8
Guatemala;69.2
Guatemala;69.2
Guatemala;69.8
Guatemala;70.1
Guatemala;70.4
Guatemala;70.6
Guatemala;70.9
Guatemala;71.2
Guatemala;71.5
Guatemala;71.7
Guatemala;72.0
Guatemala;72.1
Guatemala;72.4
Guatemala;72.6
Guatemala;72.7
Guyana;64.8
Guyana;64.7
Guyana;64.6
Guyana;64.9
Guyana;65.1
Guyana;65.7
Guyana;66.3
Guyana;66.3
Guyana;66.6
Guyana;66.7
Guyana;67.0
Guyana;67.2
Guyana;67.5
Guyana;67.9
Guyana;68.2
Guyana;68.4
Guyana;68.7
Guyana;68.9
Haiti;58.5
Haiti;58.9
Haiti;59.5
Haiti;58.5
Haiti;60.4
Haiti;60.8
Haiti;61.1
Haiti;61.3
Haiti;61.7
Haiti;46.0
Haiti;61.6
Haiti;62.3
Haiti;62.6
Haiti;63.0
Haiti;63.2
Haiti;63.4
Haiti;63.9
Haiti;64.0
Honduras;69.0
Honduras;69.4
Honduras;69.5
Honduras;69.8
Honduras;70.1
Honduras;70.3
Honduras;70.4
Honduras;70.4
Honduras;70.9
Honduras;71.1
Honduras;71.4
Honduras;71.7
Honduras;72.0
Honduras;72.3
Honduras;72.5
Honduras;72.6
Honduras;72.7
Honduras;72.8
Hong Kong;81.1
Hong Kong;81.3
Hong Kong;81.2
Hong Kong;81.4
Hong Kong;81.8
Hong Kong;82.0
Hong Kong;82.2
Hong Kong;82.4
Hong Kong;82.6
Hong Kong;83.0
Hong Kong;83.2
Hong Kong;83.6
Hong Kong;83.8
Hong Kong;84.1
Hong Kong;84.3
Hong Kong;84.5
Hong Kong;84.9
Hong Kong;85.2
Hungary;72.4
Hungary;72.5
Hungary;72.5
Hungary;72.9
Hungary;72.9
Hungary;73.3
Hungary;73.4
Hungary;74.0
Hungary;74.2
Hungary;74.5
Hungary;74.9
Hungary;75.2
Hungary;75.7
Hungary;75.8
Hungary;75.7
Hungary;76.2
Hungary;76.0
Hungary;76.2
Iceland;80.7
Iceland;80.5
Iceland;80.8
Iceland;81.0
Iceland;81.2
Iceland;81.2
Iceland;81.4
Iceland;81.4
Iceland;81.6
Iceland;81.7
Iceland;82.2
Iceland;82.6
Iceland;81.9
Iceland;82.6
Iceland;82.4
Iceland;82.0
Iceland;82.5
Iceland;82.8
India;63.1
India;63.6
India;64.1
India;64.5
India;65.0
India;65.4
India;65.8
India;66.1
India;66.5
India;66.9
India;67.4
India;67.9
India;68.5
India;69.1
India;69.6
India;70.1
India;70.5
India;70.7
Indonesia;66.8
Indonesia;67.1
Indonesia;67.4
Indonesia;65.8
Indonesia;67.6
Indonesia;67.9
Indonesia;68.2
Indonesia;68.2
Indonesia;68.5
Indonesia;68.7
Indonesia;68.8
Indonesia;69.0
Indonesia;69.3
Indonesia;69.5
Indonesia;69.7
Indonesia;69.8
Indonesia;69.9
Indonesia;70.3
Iran;70.0
Iran;70.4
Iran;69.8
Iran;71.4
Iran;71.8
Iran;72.3
Iran;72.8
Iran;72.6
Iran;72.7
Iran;73.1
Iran;73.7
Iran;74.2
Iran;74.4
Iran;74.8
Iran;75.1
Iran;75.6
Iran;76.0
Iran;76.2
Iraq;67.0
Iraq;67.1
Iraq;65.6
Iraq;65.0
Iraq;64.8
Iraq;63.6
Iraq;63.6
Iraq;64.9
Iraq;66.4
Iraq;67.1
Iraq;67.7
Iraq;68.0
Iraq;68.3
Iraq;68.9
Iraq;69.4
Iraq;69.0
Iraq;70.4
Iraq;71.5
Ireland;77.1
Ireland;77.6
Ireland;78.1
Ireland;78.5
Ireland;78.9
Ireland;79.2
Ireland;79.6
Ireland;79.8
Ireland;80.0
Ireland;80.5
Ireland;80.6
Ireland;80.8
Ireland;81.0
Ireland;81.3
Ireland;81.4
Ireland;81.5
Ireland;81.9
Ireland;82.1
Israel;79.3
Israel;79.3
Israel;79.6
Israel;80.1
Israel;80.2
Israel;80.5
Israel;80.7
Israel;81.1
Israel;81.6
Israel;81.7
Israel;81.7
Israel;81.7
Israel;82.1
Israel;82.2
Israel;82.1
Israel;82.5
Israel;82.7
Israel;82.8
Italy;79.9
Italy;80.1
Italy;80.2
Italy;81.0
Italy;81.0
Italy;81.4
Italy;81.5
Italy;81.6
Italy;81.8
Italy;82.1
Italy;82.2
Italy;82.3
Italy;82.7
Italy;82.9
Italy;82.5
Italy;83.0
Italy;82.7
Italy;83.2
Jamaica;70.8
Jamaica;70.9
Jamaica;70.8
Jamaica;70.9
Jamaica;71.0
Jamaica;71.2
Jamaica;71.4
Jamaica;71.6
Jamaica;72.1
Jamaica;72.6
Jamaica;73.1
Jamaica;73.4
Jamaica;73.4
Jamaica;73.0
Jamaica;72.4
Jamaica;72.0
Jamaica;71.9
Jamaica;71.8
Japan;81.5
Japan;81.8
Japan;81.9
Japan;82.1
Japan;82.0
Japan;82.4
Japan;82.6
Japan;82.6
Japan;83.0
Japan;82.9
Japan;82.7
Japan;83.2
Japan;83.4
Japan;83.7
Japan;83.9
Japan;84.1
Japan;84.2
Japan;84.3
Jordan;72.1
Jordan;72.4
Jordan;72.6
Jordan;72.8
Jordan;72.9
Jordan;73.1
Jordan;73.4
Jordan;73.6
Jordan;73.8
Jordan;74.0
Jordan;74.2
Jordan;74.4
Jordan;74.6
Jordan;74.8
Jordan;75.0
Jordan;75.2
Jordan;75.5
Jordan;75.8
Kazakhstan;64.4
Kazakhstan;64.3
Kazakhstan;64.6
Kazakhstan;64.9
Kazakhstan;65.1
Kazakhstan;65.6
Kazakhstan;65.9
Kazakhstan;66.7
Kazakhstan;67.3
Kazakhstan;68.1
Kazakhstan;68.7
Kazakhstan;69.1
Kazakhstan;69.8
Kazakhstan;70.3
Kazakhstan;70.7
Kazakhstan;70.9
Kazakhstan;71.4
Kazakhstan;71.5
Kenya;54.5
Kenya;55.0
Kenya;55.6
Kenya;56.4
Kenya;57.3
Kenya;58.2
Kenya;58.9
Kenya;59.6
Kenya;60.4
Kenya;60.6
Kenya;61.0
Kenya;61.1
Kenya;61.4
Kenya;61.8
Kenya;61.9
Kenya;62.2
Kenya;62.5
Kenya;62.7
Kiribati;64.7
Kiribati;64.8
Kiribati;65.0
Kiribati;65.0
Kiribati;65.0
Kiribati;64.9
Kiribati;64.8
Kiribati;64.8
Kiribati;64.9
Kiribati;65.0
Kiribati;65.2
Kiribati;65.4
Kiribati;65.6
Kiribati;65.8
Kiribati;66.1
Kiribati;66.3
Kiribati;66.6
Kiribati;66.9
Kuwait;76.9
Kuwait;77.0
Kuwait;77.0
Kuwait;76.8
Kuwait;76.9
Kuwait;76.9
Kuwait;77.0
Kuwait;77.1
Kuwait;77.4
Kuwait;78.0
Kuwait;78.5
Kuwait;78.8
Kuwait;79.2
Kuwait;79.4
Kuwait;79.6
Kuwait;79.7
Kuwait;79.8
Kuwait;79.7
Kyrgyzstan;65.8
Kyrgyzstan;65.9
Kyrgyzstan;66.2
Kyrgyzstan;66.3
Kyrgyzstan;66.4
Kyrgyzstan;66.8
Kyrgyzstan;67.0
Kyrgyzstan;67.2
Kyrgyzstan;67.8
Kyrgyzstan;68.3
Kyrgyzstan;68.6
Kyrgyzstan;69.0
Kyrgyzstan;69.2
Kyrgyzstan;69.9
Kyrgyzstan;70.0
Kyrgyzstan;70.3
Kyrgyzstan;70.6
Kyrgyzstan;70.7
Laos;59.1
Laos;59.5
Laos;60.0
Laos;60.3
Laos;61.0
Laos;61.5
Laos;62.1
Laos;62.6
Laos;63.3
Laos;64.0
Laos;64.7
Laos;65.4
Laos;65.7
Laos;66.4
Laos;66.7
Laos;67.2
Laos;67.4
Laos;67.6
Latvia;70.1
Latvia;70.4
Latvia;70.6
Latvia;70.9
Latvia;70.8
Latvia;70.9
Latvia;71.1
Latvia;72.0
Latvia;72.8
