Entity;Aquaculture production (metric tons)
Gambia;35.0
Georgia;80.0
Georgia;52.0
Georgia;56.0
Georgia;72.0
Georgia;107.0
Georgia;150.0
Georgia;180.0
Georgia;422.0
Georgia;705.0
Georgia;850.0
Georgia;1000.0
Georgia;1155.0
Georgia;1305.0
Georgia;1495.0
Georgia;1655.0
Georgia;1805.0
Georgia;2042.0
Georgia;2381.5
Germany;53409.0
Germany;49852.0
Germany;74280.0
Germany;57233.0
Germany;44685.0
Germany;35379.0
Germany;44994.0
Germany;43977.0
Germany;38907.0
Germany;40694.0
Germany;39141.0
Germany;26360.0
Germany;25289.0
Germany;26032.0
Germany;29909.0
Germany;41801.0
Germany;35979.0
Germany;34196.0
Ghana;6000.0
Ghana;6000.0
Ghana;938.0
Ghana;950.0
Ghana;1154.0
Ghana;2270.0
Ghana;3820.0
Ghana;5594.0
Ghana;7154.0
Ghana;10200.0
Ghana;19092.0
Ghana;27450.0
Ghana;32513.0
Ghana;38545.0
Ghana;44610.0
Ghana;52480.0
Ghana;57415.0
Ghana;76630.0
Greece;97512.0
Greece;87928.0
Greece;101434.0
Greece;97143.0
Greece;106208.0
Greece;113384.0
Greece;113297.0
Greece;115068.0
Greece;122011.0
Greece;121244.0
Greece;110809.1015625
Greece;110973.46875
Greece;113999.8515625
Greece;104663.0
Greece;107161.796875
Greece;123707.1015625
Greece;125524.703125
Greece;132392.203125
Guatemala;5100.0
Guatemala;7978.0
Guatemala;6346.0
Guatemala;4908.0
Guatemala;9008.0
Guatemala;16293.0
Guatemala;16400.0
Guatemala;18727.0
Guatemala;16623.0
Guatemala;22792.23046875
Guatemala;21468.0
Guatemala;17743.0
Guatemala;19762.0
Guatemala;21395.0
Guatemala;22247.599609375
Guatemala;23448.900390625
Guatemala;26360.0
Guatemala;28317.0
Guyana;608.0
Guyana;608.0
Guyana;608.0
Guyana;608.0
Guyana;608.0
Guyana;660.0
Guyana;660.0
Guyana;292.0
Guyana;510.9599914550781
Guyana;487.6000061035156
Guyana;263.1000061035156
Guyana;261.1780090332031
Guyana;220.6499938964844
Guyana;367.4960021972656
Guyana;417.6399841308594
Guyana;336.6999816894531
Guyana;696.2680053710938
Guyana;306.760009765625
Haiti;12.0
Haiti;12.0
Haiti;12.0
Haiti;32.0
Haiti;32.0
Haiti;32.0
Haiti;162.0
Haiti;162.0
Haiti;225.0
Haiti;360.0
Haiti;600.0
Haiti;720.0
Haiti;800.0
Haiti;1010.0
Haiti;1220.0
Haiti;1290.0
Haiti;1400.0
Haiti;1400.0
Honduras;13386.0
Honduras;16957.0
Honduras;23547.0
Honduras;27036.0
Honduras;49249.0
Honduras;55356.0
Honduras;54689.0
Honduras;47080.0
Honduras;28858.0
Honduras;27509.0
Honduras;50295.0
Honduras;52436.0
Honduras;53100.0
Honduras;61750.0
Honduras;55100.0
Honduras;54000.0
Honduras;64500.0
Honduras;65000.0
Hong Kong;5627.0
Hong Kong;4302.0
Hong Kong;4857.0
Hong Kong;4615.0
Hong Kong;4130.0
Hong Kong;4125.0
Hong Kong;4514.0
Hong Kong;4754.0
Hong Kong;4819.0
Hong Kong;4338.0
Hong Kong;3438.0
Hong Kong;4093.0
Hong Kong;3764.0
Hong Kong;3897.0
Hong Kong;3894.0
Hong Kong;4258.0
Hong Kong;4172.0
Hong Kong;4133.0
Hungary;13056.0
Hungary;11574.0
Hungary;11870.0
Hungary;12744.0
Hungary;13661.0
Hungary;14686.0
Hungary;15864.0
Hungary;15687.0
Hungary;14825.0
Hungary;14245.0
Hungary;15584.0
Hungary;15133.0
Hungary;14918.0
Hungary;15326.0
Hungary;17337.0
Hungary;16247.96875
Hungary;18257.5
Hungary;17852.298828125
Iceland;4371.0
Iceland;3585.0
Iceland;6214.0
Iceland;8868.0
Iceland;8256.0
Iceland;8241.0
Iceland;4823.0
Iceland;5098.0
Iceland;5165.0
Iceland;5050.0
Iceland;5308.5
Iceland;7431.2998046875
Iceland;7053.0
Iceland;8433.5
Iceland;8382.599609375
Iceland;15129.0
Iceland;20858.69921875
Iceland;19185.0
India;2120634.0
India;2189445.0
India;2316947.0
India;2804362.0
India;2973126.0
India;3182817.0
India;3114762.0
India;3855763.0
India;3798842.0
India;3790021.0
India;3677584.0
India;4213980.0
India;4555209.0
India;4893002.0
India;5263002.0
India;5702002.0
India;6184869.0
India;7071302.0
Indonesia;1076749.0
Indonesia;1137151.0
Indonesia;1228559.0
Indonesia;1468612.0
Indonesia;2124093.0
Indonesia;2479247.0
Indonesia;3137376.0
Indonesia;3854944.0
Indonesia;4712846.5
Indonesia;6277924.5
Indonesia;7937071.5
Indonesia;9599765.0
Indonesia;13301408.0
Indonesia;14375287.0
Indonesia;15649311.0
Indonesia;16002319.0
Indonesia;16118238.0
Indonesia;14772104.0
Iran;62550.0
Iran;76817.0
Iran;91714.0
Iran;104330.0
Iran;111761.0
Iran;129468.0
Iran;158549.0
Iran;154726.0
Iran;179552.0
Iran;220034.0
Iran;247262.0
Iran;296514.0
Iran;325325.0
Iran;320174.0
Iran;346118.0
Iran;398129.0
Iran;412887.0
Iran;439718.0
Iraq;2000.0
Iraq;2000.0
Iraq;2000.0
Iraq;13947.0
Iraq;17941.0
Iraq;14867.0
Iraq;15810.0
Iraq;19246.0
Iraq;18732.0
Iraq;20320.0
Iraq;16290.0
Iraq;25040.0
Iraq;14060.0
Iraq;26625.0
Iraq;24803.0
Iraq;28835.0
Iraq;31814.0
Iraq;25737.0
Ireland;60940.0
Ireland;62568.0
Ireland;62516.0
Ireland;58359.0
Ireland;60050.0
Ireland;53122.0
Ireland;57104.0
Ireland;44867.5
Ireland;47511.67578125
Ireland;46490.30078125
Ireland;44266.3203125
Ireland;36102.01171875
Ireland;34198.19921875
Ireland;31200.19921875
Ireland;39650.0
Ireland;40244.4296875
Ireland;45433.1015625
Ireland;36895.8984375
Israel;21318.0
Israel;22256.0
Israel;20776.0
Israel;22303.0
Israel;22409.0
Israel;22117.0
Israel;21434.0
Israel;20017.0
Israel;19177.0
Israel;19895.0
Israel;20817.0
Israel;20342.400390625
Israel;22251.599609375
Israel;20166.0
Israel;19640.0
Israel;18914.0
Israel;16985.0
Israel;17000.0
Italy;218330.0
Italy;184285.0
Italy;191884.0
Italy;118217.0
Italy;181101.0
Italy;172793.0
Italy;179409.0
Italy;149002.765625
Italy;162431.5
Italy;153493.703125
Italy;164150.703125
Italy;137041.0
Italy;140879.0
Italy;148730.34375
Italy;148762.59375
Italy;157000.0
Italy;157000.0
Italy;143338.1875
Jamaica;4512.0
Jamaica;6150.0
Jamaica;2969.0
Jamaica;4495.0
Jamaica;5670.0
Jamaica;8019.0
Jamaica;5616.0
Jamaica;5950.0
Jamaica;5184.0
Jamaica;3952.0
Jamaica;1152.0
Jamaica;651.050048828125
Jamaica;837.9000244140625
Jamaica;876.0
Jamaica;602.0
Jamaica;947.0
Jamaica;1342.0
Jamaica;1615.6300048828125
Japan;1311828.75
Japan;1385099.125
Japan;1301793.5
Japan;1261003.25
Japan;1254143.0
Japan;1224189.5
Japan;1284425.375
Japan;1186721.875
Japan;1243358.125
Japan;1151101.375
Japan;907971.5625
Japan;1073820.75
Japan;1027951.5
Japan;1021848.5625
Japan;1105651.625
Japan;1068034.5
Japan;1023192.1875
Japan;1032674.625
Jordan;540.0
Jordan;515.0
Jordan;650.0
Jordan;487.0
Jordan;561.0
Jordan;560.0
Jordan;509.0
Jordan;540.0
Jordan;440.0
Jordan;541.0
Jordan;575.0
Jordan;600.0
Jordan;720.0
Jordan;885.0
Jordan;885.0
Jordan;885.0
Jordan;885.0
Jordan;900.0
Kazakhstan;309.0
Kazakhstan;778.0
Kazakhstan;820.0
